Name,Phone Number,Email
Global Learning,416-736-5177,goglobal@yorku.ca
Graduate LeveL International Student Immigration Information,,iadvisor@yorku.ca
International Student Health Insurance (UHIP),416-736-5177,uhip@yorku.ca
Student Financial Service (account),416-872-9675,
Health Plan Charges - Graduate Student (GSA),416-736-5213,
Health Plan Charges - Osgood Student (YUGSA Health Plan),416-736-5213,
Health Plan Charges - Undergraduate Students (YFS),,healthplan@yfs.ca
Telecommunications,416-736-5611,
YU-card (Kelee Campus),416-736-5674,yucard@yorku.ca
YU-card (Glendon Campus),416-487-6798,yucard@yorku.ca
